income,employment_status,family_size,education_level,health_condition,housing_type,disaster_risk
123473,unemployed,6,secondary,1,temporary,medium
120427,informal,3,secondary,1,rented,high
13507,self_employed,5,primary,0,temporary,high
155169,employed,4,graduate,0,permanent,low
108146,informal,5,graduate,0,permanent,medium
44485,informal,6,graduate,1,homeless,high
149494,self_employed,4,secondary,0,permanent,low
58542,retired,7,secondary,0,rented,high
23304,informal,8,none,1,homeless,high
355514,self_employed,5,postgraduate,0,permanent,low
28948,employed,4,none,0,temporary,high
41075,informal,5,none,1,permanent,low
38077,unemployed,10,none,1,temporary,medium
6095,unemployed,9,primary,1,temporary,medium
144891,informal,7,secondary,1,permanent,medium
15855,informal,10,secondary,1,homeless,high
419640,employed,3,graduate,1,rented,medium
320863,self_employed,5,graduate,0,permanent,high
127571,employed,7,graduate,0,rented,high
61004,self_employed,4,secondary,0,permanent,medium
27964,unemployed,6,primary,1,rented,high
66978,employed,5,graduate,0,temporary,medium
46192,informal,5,secondary,0,temporary,medium
49227,self_employed,5,postgraduate,1,temporary,low
46084,informal,8,primary,1,homeless,high
39264,unemployed,9,secondary,1,temporary,medium
149669,informal,6,secondary,1,rented,medium
76158,self_employed,7,secondary,1,permanent,medium
51733,self_employed,5,secondary,0,permanent,high
471473,employed,5,graduate,1,permanent,high
59932,self_employed,4,secondary,0,homeless,high
119142,employed,6,graduate,0,rented,medium
108519,unemployed,6,graduate,1,rented,medium
42154,unemployed,9,none,0,homeless,medium
73228,employed,5,secondary,1,permanent,low
50816,retired,6,none,0,rented,medium
137085,employed,5,graduate,0,permanent,high
110547,informal,4,secondary,0,homeless,high
121500,employed,4,graduate,0,rented,medium
33689,self_employed,10,primary,0,temporary,high
38169,informal,8,primary,1,temporary,medium
11118,unemployed,8,none,1,homeless,high
28186,unemployed,7,primary,1,homeless,medium
42362,retired,6,none,1,temporary,high
75885,unemployed,4,graduate,1,temporary,high
68307,unemployed,5,secondary,0,rented,low
112250,retired,4,secondary,1,rented,medium
302953,self_employed,4,postgraduate,0,permanent,low
267853,employed,2,postgraduate,0,rented,low
40276,informal,4,none,1,rented,high
57904,self_employed,5,graduate,1,rented,high
343944,employed,2,graduate,0,permanent,high
111594,employed,2,postgraduate,0,permanent,high
134223,employed,5,postgraduate,1,rented,medium
57479,retired,4,graduate,0,rented,medium
57325,self_employed,7,primary,1,rented,high
44950,unemployed,10,primary,0,homeless,medium
135732,employed,4,secondary,1,rented,high
47559,retired,9,primary,0,homeless,high
303135,self_employed,5,postgraduate,0,permanent,high
132702,employed,5,secondary,0,permanent,high
431878,employed,5,postgraduate,0,temporary,low
131009,self_employed,2,secondary,1,permanent,high
43624,self_employed,7,graduate,1,homeless,high
63827,informal,5,primary,1,temporary,medium
33881,informal,10,primary,0,homeless,high
40231,self_employed,10,none,1,temporary,high
16823,informal,5,none,1,rented,low
338376,self_employed,5,postgraduate,1,permanent,high
14265,unemployed,10,secondary,1,temporary,high
351880,self_employed,2,postgraduate,0,permanent,low
132039,informal,6,graduate,1,permanent,high
253594,retired,5,graduate,0,permanent,low
36726,informal,6,secondary,1,temporary,medium
59477,unemployed,4,primary,1,homeless,high
136895,unemployed,3,primary,0,temporary,low
59093,informal,7,graduate,1,temporary,high
68114,unemployed,4,postgraduate,1,temporary,high
46970,informal,4,none,0,rented,low
20754,informal,10,primary,0,temporary,high
310742,employed,3,graduate,0,permanent,low
133083,self_employed,5,secondary,1,rented,medium
94511,self_employed,6,secondary,1,rented,medium
122121,informal,3,graduate,0,rented,high
55109,employed,6,primary,0,temporary,medium
474878,retired,5,graduate,0,rented,medium
307044,self_employed,3,postgraduate,0,permanent,medium
345868,employed,2,graduate,1,permanent,low
226747,employed,4,graduate,0,permanent,high
199074,self_employed,4,secondary,0,permanent,low
16503,unemployed,5,none,0,temporary,low
69522,employed,4,secondary,1,temporary,medium
415443,employed,3,secondary,1,permanent,low
110028,unemployed,4,graduate,0,temporary,low
40773,employed,7,primary,0,rented,low
118452,employed,2,primary,1,permanent,low
129864,informal,6,postgraduate,0,permanent,medium
433812,employed,3,graduate,1,permanent,medium
90915,retired,4,secondary,0,rented,high
133151,self_employed,4,none,0,rented,high
94752,employed,6,secondary,0,permanent,medium
134805,informal,4,secondary,0,temporary,low
121117,employed,6,secondary,1,permanent,medium
14262,informal,8,secondary,1,homeless,medium
46669,employed,5,graduate,0,permanent,medium
34031,unemployed,5,primary,1,temporary,medium
60428,informal,7,graduate,0,permanent,medium
168448,self_employed,5,graduate,1,permanent,low
454517,employed,2,secondary,0,rented,high
264256,retired,4,graduate,0,permanent,low
81353,informal,6,secondary,1,permanent,high
59925,employed,3,secondary,1,temporary,medium
76861,informal,4,none,1,temporary,medium
171092,self_employed,5,graduate,0,temporary,low
331177,informal,3,graduate,0,permanent,low
27267,retired,6,primary,0,temporary,high
56836,retired,5,none,1,rented,low
44505,retired,7,primary,1,permanent,high
200675,employed,2,graduate,1,permanent,medium
34421,retired,6,primary,1,homeless,high
41128,unemployed,10,none,1,rented,high
101619,employed,3,graduate,0,permanent,medium
142776,employed,5,primary,0,permanent,high
10459,retired,9,primary,1,temporary,high
58133,unemployed,10,primary,0,temporary,high
145815,self_employed,2,postgraduate,0,permanent,low
43191,informal,10,none,1,temporary,medium
47361,informal,4,postgraduate,1,temporary,medium
33375,self_employed,5,primary,1,temporary,medium
58579,unemployed,7,secondary,0,temporary,medium
132121,employed,2,secondary,1,permanent,low
64817,informal,3,secondary,1,rented,high
149581,informal,7,secondary,1,temporary,medium
20779,informal,9,none,1,temporary,high
37369,unemployed,9,primary,1,permanent,medium
333796,unemployed,2,graduate,0,rented,low
48634,informal,5,secondary,1,permanent,medium
264351,employed,3,graduate,0,permanent,low
270062,self_employed,5,graduate,1,permanent,medium
319989,retired,3,postgraduate,0,rented,medium
96935,self_employed,4,secondary,1,temporary,high
75506,employed,3,secondary,0,rented,low
17448,informal,9,secondary,1,homeless,high
86316,retired,3,none,1,rented,high
104779,self_employed,6,secondary,1,rented,medium
45532,employed,4,secondary,1,temporary,high
56794,employed,6,primary,0,permanent,high
20298,retired,6,secondary,1,rented,high
57023,unemployed,5,none,1,homeless,high
471250,informal,3,postgraduate,0,permanent,low
11264,unemployed,5,secondary,0,rented,medium
481590,employed,5,graduate,0,rented,low
141942,unemployed,4,secondary,0,permanent,medium
142719,employed,5,secondary,0,rented,high
198668,retired,2,graduate,0,rented,low
72535,self_employed,6,graduate,1,permanent,high
6888,informal,10,secondary,1,homeless,low
90072,informal,7,secondary,0,homeless,medium
44750,informal,5,secondary,1,temporary,high
36267,unemployed,6,none,1,temporary,high
16665,unemployed,10,none,1,temporary,medium
38535,unemployed,9,graduate,1,homeless,high
15707,retired,5,primary,1,temporary,high
9559,informal,8,primary,1,homeless,medium
51727,self_employed,6,secondary,1,rented,high
49795,informal,4,secondary,1,rented,high
180022,retired,3,graduate,0,rented,low
55170,unemployed,4,secondary,1,rented,high
67372,employed,6,primary,1,rented,medium
186077,employed,3,graduate,1,permanent,medium
106962,employed,4,graduate,0,temporary,low
125257,employed,3,secondary,1,rented,low
12385,unemployed,10,primary,1,temporary,medium
79139,self_employed,4,postgraduate,1,permanent,high
114297,self_employed,5,secondary,0,temporary,low
208188,employed,5,postgraduate,0,permanent,low
351750,employed,4,postgraduate,0,rented,high
5017,self_employed,8,primary,0,temporary,high
135518,informal,4,primary,0,rented,low
88866,unemployed,6,graduate,0,temporary,high
34945,retired,10,none,0,rented,low
349825,employed,2,secondary,0,rented,low
75398,unemployed,7,secondary,1,temporary,high
43918,unemployed,6,graduate,0,homeless,medium
9129,retired,6,graduate,1,temporary,high
64650,employed,6,graduate,1,temporary,medium
393047,retired,5,postgraduate,0,permanent,medium
29071,informal,7,secondary,1,homeless,medium
82036,informal,5,secondary,0,permanent,low
177402,self_employed,5,postgraduate,0,homeless,high
14020,unemployed,6,secondary,1,rented,medium
280068,employed,3,graduate,0,rented,medium
173149,retired,3,postgraduate,0,rented,low
385210,employed,2,graduate,0,permanent,low
129654,informal,5,secondary,0,rented,medium
374266,self_employed,5,graduate,0,permanent,low
46973,informal,5,none,1,temporary,high
364509,self_employed,5,secondary,0,homeless,medium
148164,employed,3,none,0,temporary,medium
59241,self_employed,4,primary,1,temporary,low
41385,informal,5,secondary,0,permanent,medium
433038,informal,2,postgraduate,1,permanent,medium
36037,self_employed,7,none,1,permanent,high
459057,employed,2,graduate,1,rented,high
11032,unemployed,9,none,1,temporary,high
44558,retired,4,primary,1,rented,high
52445,unemployed,4,graduate,1,temporary,medium
16877,informal,9,secondary,1,rented,medium
12711,informal,7,primary,1,homeless,high
95932,unemployed,4,none,0,permanent,high
137587,self_employed,4,graduate,0,temporary,medium
104664,employed,6,graduate,1,temporary,high
44662,informal,7,secondary,1,permanent,medium
293089,self_employed,2,graduate,0,permanent,low
10717,unemployed,9,primary,1,homeless,low
163444,unemployed,2,graduate,0,permanent,low
74472,employed,4,graduate,0,temporary,high
53931,informal,4,primary,1,temporary,high
39768,unemployed,10,primary,1,homeless,medium
36113,informal,5,primary,1,rented,high
176604,self_employed,3,postgraduate,0,permanent,low
72383,informal,6,graduate,0,temporary,medium
33303,unemployed,6,none,0,rented,low
119486,self_employed,4,graduate,0,rented,low
438711,self_employed,3,graduate,0,permanent,high
94698,unemployed,3,graduate,1,rented,high
23404,informal,10,none,1,homeless,medium
346369,employed,5,postgraduate,1,permanent,low
118556,informal,7,primary,0,rented,low
120788,informal,5,graduate,1,rented,medium
26244,retired,8,primary,1,temporary,high
76506,employed,6,graduate,0,rented,low
460884,employed,4,postgraduate,0,permanent,low
55363,informal,5,graduate,0,rented,low
47433,self_employed,6,primary,1,temporary,high
59181,employed,3,secondary,1,rented,low
17381,self_employed,6,none,1,homeless,high
42188,employed,6,primary,1,homeless,high
90709,employed,4,secondary,0,rented,high
245414,employed,4,secondary,0,permanent,low
48273,informal,4,primary,1,rented,high
19446,informal,8,none,1,temporary,high
43280,unemployed,5,primary,1,temporary,high
15511,unemployed,9,secondary,1,homeless,high
31633,unemployed,7,secondary,1,homeless,high
48985,unemployed,8,none,1,permanent,high
314189,self_employed,5,secondary,1,rented,low
55138,unemployed,9,secondary,1,rented,high
120692,employed,6,graduate,0,rented,medium
89501,employed,6,secondary,0,permanent,high
20131,unemployed,7,none,1,rented,medium
51731,self_employed,7,secondary,1,temporary,high
95592,unemployed,5,secondary,0,homeless,medium
19361,self_employed,9,secondary,1,temporary,high
46288,self_employed,3,graduate,0,rented,medium
39423,retired,7,primary,0,permanent,medium
31834,unemployed,8,primary,1,rented,high
488547,employed,5,postgraduate,1,permanent,low
51696,unemployed,10,primary,1,temporary,high
139727,employed,4,secondary,1,temporary,high
242783,employed,2,graduate,1,permanent,medium
57339,employed,7,graduate,0,permanent,high
12200,informal,5,secondary,1,temporary,high
35197,informal,7,secondary,1,rented,high
124849,self_employed,5,graduate,0,rented,medium
31717,unemployed,10,secondary,1,temporary,high
79117,unemployed,6,secondary,0,temporary,medium
213020,employed,3,graduate,0,rented,medium
307807,employed,2,postgraduate,1,permanent,medium
88702,self_employed,6,primary,1,temporary,high
53275,employed,3,secondary,1,rented,low
24264,unemployed,8,secondary,0,homeless,medium
26722,unemployed,8,primary,1,temporary,medium
6617,informal,9,secondary,0,permanent,medium
121496,employed,5,primary,0,temporary,medium
140091,informal,7,graduate,0,temporary,low
298141,employed,5,postgraduate,0,permanent,low
45427,unemployed,7,primary,0,temporary,high
65383,employed,4,secondary,0,homeless,high
185664,self_employed,4,postgraduate,0,permanent,low
49080,informal,4,secondary,1,temporary,medium
101463,retired,5,graduate,0,homeless,medium
82799,informal,7,secondary,0,rented,low
6456,employed,6,primary,1,rented,medium
117554,employed,5,primary,0,temporary,low
230410,employed,3,postgraduate,0,permanent,low
114261,employed,3,secondary,1,homeless,medium
129833,employed,5,secondary,0,temporary,low
20445,informal,7,none,1,temporary,high
20940,informal,5,primary,1,rented,medium
10394,self_employed,4,primary,1,homeless,low
465629,self_employed,2,primary,0,permanent,low
129871,self_employed,5,graduate,0,temporary,medium
43198,unemployed,4,secondary,1,temporary,high
104272,unemployed,7,secondary,1,temporary,medium
35299,informal,6,primary,1,rented,high
23592,unemployed,10,primary,0,rented,high
260641,employed,5,graduate,1,rented,low
67596,employed,4,graduate,0,temporary,low
34420,unemployed,9,primary,1,rented,high
97060,employed,7,graduate,0,rented,low
87737,employed,4,secondary,0,rented,low
146498,employed,6,graduate,1,permanent,low
132718,employed,5,none,1,rented,high
186077,retired,5,secondary,1,permanent,high
38605,informal,6,none,1,permanent,medium
133240,employed,7,secondary,0,permanent,low
67664,unemployed,7,secondary,0,permanent,medium
203107,employed,2,graduate,0,permanent,low
123337,employed,2,graduate,0,rented,low
343030,self_employed,3,postgraduate,1,permanent,medium
120295,self_employed,4,graduate,0,permanent,medium
225294,employed,5,secondary,0,rented,low
318499,unemployed,4,postgraduate,0,permanent,low
112398,employed,3,postgraduate,1,permanent,medium
47998,unemployed,9,secondary,1,temporary,high
54113,informal,5,secondary,1,permanent,low
15741,unemployed,10,none,1,rented,high
15195,self_employed,10,none,1,temporary,medium
241584,retired,2,postgraduate,0,permanent,low
106948,unemployed,7,secondary,0,rented,medium
64811,informal,5,graduate,1,rented,low
133257,employed,4,secondary,1,permanent,low
431124,employed,4,postgraduate,0,permanent,low
311004,employed,3,postgraduate,0,permanent,low
490411,employed,5,graduate,0,permanent,medium
119073,employed,2,graduate,0,permanent,medium
54134,self_employed,6,none,0,homeless,high
55269,informal,6,secondary,1,rented,medium
44257,self_employed,5,secondary,0,permanent,high
24674,informal,5,secondary,1,homeless,high
139005,retired,4,secondary,0,permanent,high
271837,employed,2,postgraduate,1,permanent,low
52472,retired,5,secondary,0,rented,medium
8216,unemployed,10,none,1,homeless,high
115675,self_employed,7,secondary,0,permanent,low
121358,employed,5,secondary,0,permanent,medium
43555,unemployed,7,primary,1,permanent,high
41778,self_employed,5,primary,0,rented,high
430741,self_employed,5,graduate,0,permanent,low
367221,employed,5,primary,0,permanent,low
198330,employed,3,secondary,0,permanent,medium
85123,unemployed,7,secondary,0,permanent,medium
470621,employed,5,primary,0,permanent,low
115578,employed,7,primary,1,temporary,high
490531,employed,2,postgraduate,0,permanent,low
125439,employed,3,graduate,0,temporary,high
52468,informal,4,none,1,permanent,medium
98118,informal,4,secondary,0,rented,low
104213,employed,5,secondary,0,permanent,high
131243,self_employed,4,graduate,0,permanent,medium
55400,unemployed,10,none,0,rented,high
18167,informal,6,none,1,temporary,high
57496,unemployed,4,graduate,0,homeless,medium
58965,unemployed,5,secondary,1,permanent,medium
491330,employed,2,graduate,1,permanent,medium
497272,retired,3,postgraduate,1,temporary,low
50196,self_employed,7,secondary,0,temporary,high
55080,employed,9,none,1,rented,medium
396335,employed,2,graduate,0,rented,medium
287108,employed,3,graduate,0,permanent,low
53525,informal,4,secondary,1,temporary,medium
138065,employed,5,postgraduate,0,permanent,medium
5766,retired,7,primary,0,rented,high
27335,retired,8,primary,1,homeless,high
139734,employed,6,graduate,0,rented,medium
37083,self_employed,5,none,1,temporary,high
42727,unemployed,7,secondary,1,homeless,high
53424,unemployed,9,secondary,1,temporary,medium
7962,informal,5,none,0,temporary,high
121087,unemployed,3,graduate,1,permanent,low
460059,employed,2,postgraduate,0,permanent,medium
16475,informal,7,primary,1,temporary,high
20024,informal,5,primary,1,rented,medium
410212,self_employed,4,postgraduate,0,homeless,low
98859,employed,7,graduate,0,permanent,medium
110500,employed,4,graduate,0,rented,low
50515,unemployed,4,primary,1,homeless,high
125151,informal,4,primary,0,rented,low
8326,informal,8,secondary,0,rented,high
52260,employed,5,secondary,1,temporary,medium
173249,self_employed,3,postgraduate,0,permanent,low
123080,informal,5,secondary,1,homeless,medium
5755,self_employed,10,secondary,0,homeless,high
54647,informal,9,secondary,0,temporary,low
56357,self_employed,9,primary,1,rented,medium
86312,employed,3,graduate,0,permanent,medium
40767,self_employed,8,secondary,1,temporary,high
178945,employed,4,graduate,0,permanent,low
101251,unemployed,7,primary,1,rented,medium
51624,employed,7,secondary,0,permanent,high
144556,employed,4,none,0,temporary,medium
42802,unemployed,4,secondary,0,rented,high
44459,self_employed,8,secondary,1,homeless,medium
375682,employed,2,secondary,1,rented,low
39640,unemployed,8,none,1,temporary,medium
437524,employed,5,graduate,1,permanent,medium
376992,self_employed,5,graduate,0,permanent,low
78686,informal,7,graduate,1,rented,medium
20906,self_employed,10,graduate,1,rented,high
25288,retired,6,primary,1,homeless,high
304409,employed,4,postgraduate,1,temporary,low
49286,unemployed,8,secondary,0,homeless,low
10544,informal,6,secondary,0,temporary,high
364878,self_employed,2,postgraduate,0,permanent,low
63390,self_employed,5,secondary,1,permanent,low
50105,unemployed,6,secondary,0,homeless,high
209543,retired,4,graduate,0,permanent,low
52739,unemployed,5,none,0,rented,high
143202,unemployed,3,graduate,0,rented,medium
19207,unemployed,9,primary,0,homeless,medium
50992,self_employed,7,graduate,0,homeless,low
37812,self_employed,10,secondary,1,homeless,high
58762,unemployed,10,primary,0,homeless,high
44137,informal,4,primary,1,rented,medium
23589,self_employed,8,primary,1,permanent,high
68010,employed,7,graduate,0,temporary,medium
13072,self_employed,9,none,0,rented,high
102566,employed,3,graduate,1,permanent,high
68257,informal,7,primary,0,permanent,medium
21721,retired,9,graduate,1,temporary,high
122467,self_employed,2,postgraduate,0,permanent,medium
143642,informal,7,graduate,0,temporary,low
7762,retired,10,none,1,temporary,high
146336,self_employed,2,graduate,0,permanent,low
16502,self_employed,6,none,1,homeless,high
42489,unemployed,9,none,1,rented,low
108746,self_employed,5,graduate,0,temporary,low
39590,retired,10,primary,0,rented,medium
109285,unemployed,3,secondary,1,rented,high
29285,informal,9,primary,1,rented,low
48498,self_employed,5,graduate,1,rented,medium
57908,unemployed,10,secondary,1,homeless,high
145915,employed,5,graduate,1,rented,medium
139756,retired,6,primary,0,temporary,low
123463,retired,4,primary,0,permanent,low
398572,informal,3,postgraduate,1,permanent,low
216930,employed,3,postgraduate,0,permanent,low
45777,informal,8,secondary,1,temporary,medium
116001,self_employed,3,postgraduate,0,rented,low
68887,employed,7,postgraduate,1,rented,medium
113551,self_employed,5,graduate,1,homeless,low
14336,retired,8,secondary,1,rented,medium
43699,self_employed,8,secondary,1,temporary,medium
89584,employed,3,postgraduate,0,rented,low
59435,informal,5,none,1,temporary,high
163012,employed,3,postgraduate,0,permanent,low
366878,employed,2,postgraduate,1,permanent,low
48759,self_employed,7,secondary,1,temporary,low
55020,unemployed,5,primary,1,homeless,high
113361,employed,2,graduate,0,permanent,high
49589,self_employed,5,primary,0,temporary,medium
43172,retired,9,secondary,0,rented,high
6102,self_employed,7,secondary,0,temporary,medium
58314,informal,6,graduate,0,permanent,medium
37249,informal,10,secondary,1,temporary,high
118878,unemployed,5,primary,1,rented,medium
204039,employed,3,secondary,0,rented,medium
206230,employed,5,secondary,0,permanent,high
186126,self_employed,2,graduate,0,permanent,low
38639,retired,6,primary,1,rented,high
19303,employed,9,secondary,1,rented,medium
42932,unemployed,5,none,0,temporary,medium
77324,retired,4,secondary,1,rented,medium
58582,self_employed,6,graduate,0,temporary,high
11046,self_employed,10,secondary,1,temporary,high
95032,employed,7,secondary,1,rented,medium
139336,employed,4,postgraduate,0,rented,low
49664,retired,7,primary,0,homeless,low
56485,informal,8,graduate,1,rented,low
131765,unemployed,6,secondary,0,rented,high
291410,self_employed,5,graduate,0,rented,medium
82977,informal,3,none,1,rented,high
34313,retired,9,primary,1,rented,high
191338,employed,3,graduate,0,permanent,low
43707,informal,9,primary,1,rented,high
42118,retired,4,postgraduate,0,permanent,high
135634,employed,7,secondary,1,rented,medium
439932,employed,4,postgraduate,0,permanent,high
27726,informal,8,secondary,1,homeless,high
52014,employed,4,secondary,0,permanent,medium
126078,employed,7,secondary,0,temporary,medium
126991,retired,6,graduate,0,permanent,low
97208,informal,4,graduate,0,permanent,high
120017,self_employed,4,postgraduate,0,permanent,low
293294,employed,4,postgraduate,0,rented,low
135379,informal,6,graduate,0,temporary,medium
142023,informal,5,secondary,0,permanent,medium
58396,employed,7,secondary,1,rented,high
115504,self_employed,6,graduate,0,homeless,medium
400204,retired,4,graduate,0,permanent,low
54905,unemployed,7,primary,1,temporary,low
43608,unemployed,9,primary,1,homeless,high
38061,unemployed,9,primary,1,homeless,high
30315,retired,8,primary,1,homeless,medium
22151,unemployed,5,primary,1,homeless,medium
139064,self_employed,2,postgraduate,0,permanent,medium
274910,informal,4,postgraduate,0,permanent,medium
24244,informal,6,none,0,temporary,high
68110,self_employed,6,graduate,1,temporary,low
81591,unemployed,7,secondary,1,rented,medium
55446,self_employed,4,none,0,temporary,high
464945,informal,5,graduate,0,rented,low
28657,unemployed,10,secondary,1,homeless,high
273483,employed,5,graduate,1,rented,low
138866,employed,6,secondary,1,temporary,medium
137098,self_employed,5,secondary,0,rented,low
266370,self_employed,4,graduate,0,homeless,low
463426,employed,4,secondary,1,temporary,high
25109,unemployed,5,secondary,1,temporary,high
148241,self_employed,3,graduate,1,temporary,high
7214,informal,9,secondary,1,temporary,high
39066,informal,7,primary,1,rented,high
461947,retired,3,graduate,1,rented,low
32084,unemployed,4,primary,1,homeless,medium
250949,employed,2,graduate,1,permanent,low
486424,employed,2,secondary,0,rented,low
121797,unemployed,6,graduate,1,permanent,medium
66733,informal,6,secondary,0,rented,medium
127183,employed,4,postgraduate,0,permanent,medium
122278,employed,4,secondary,1,homeless,medium
106968,self_employed,6,secondary,1,temporary,high
16904,informal,4,secondary,0,rented,high
134004,informal,7,graduate,1,homeless,low
16307,unemployed,8,none,0,permanent,high
32990,self_employed,9,none,0,temporary,high
15915,unemployed,6,graduate,0,rented,medium
41434,retired,6,secondary,1,rented,medium
214748,employed,5,graduate,1,permanent,medium
58134,retired,7,secondary,1,temporary,high
405274,employed,3,graduate,0,permanent,medium
118105,employed,7,postgraduate,1,temporary,medium
172496,employed,3,secondary,0,permanent,low
28875,unemployed,10,graduate,0,temporary,high
54872,informal,8,none,1,rented,high
329832,employed,3,postgraduate,0,rented,low
71037,informal,6,postgraduate,1,homeless,low
121201,employed,4,none,0,permanent,high
144103,informal,3,secondary,0,rented,low
399114,self_employed,2,secondary,0,permanent,low
116923,informal,3,primary,0,permanent,low
47430,informal,4,postgraduate,0,homeless,high
105518,unemployed,3,primary,0,temporary,high
12738,self_employed,9,none,1,homeless,high
55552,informal,4,primary,1,temporary,low
45469,informal,7,primary,1,rented,high
72594,employed,7,graduate,0,permanent,high
67315,informal,4,secondary,1,rented,low
55093,self_employed,5,primary,0,homeless,medium
58430,self_employed,3,graduate,0,temporary,medium
42243,self_employed,7,secondary,1,homeless,medium
143674,unemployed,3,graduate,0,rented,medium
50518,informal,10,primary,0,homeless,high
32778,retired,8,primary,1,temporary,low
6772,unemployed,4,none,1,temporary,low
321490,employed,3,graduate,0,permanent,medium
98079,informal,3,secondary,1,temporary,high
23441,informal,4,primary,0,homeless,medium
124153,unemployed,5,primary,0,temporary,medium
360249,employed,5,graduate,1,permanent,high
128744,self_employed,5,secondary,0,temporary,high
53949,unemployed,5,secondary,0,temporary,high
56354,informal,4,primary,1,rented,high
34447,unemployed,10,none,1,permanent,high
11385,self_employed,9,primary,0,rented,medium
27460,informal,7,primary,1,permanent,high
51702,unemployed,4,none,1,temporary,low
357967,employed,5,graduate,0,temporary,low
39844,self_employed,9,primary,1,permanent,high
12896,informal,6,primary,1,homeless,high
147817,self_employed,6,postgraduate,1,rented,medium
28149,informal,8,primary,0,homeless,high
22432,employed,7,primary,1,rented,high
12633,unemployed,8,secondary,1,homeless,high
74431,informal,7,graduate,0,rented,medium
132734,informal,5,graduate,0,rented,medium
16280,unemployed,8,secondary,0,rented,medium
105130,self_employed,6,graduate,0,permanent,high
35359,informal,9,primary,1,rented,medium
30035,retired,5,primary,0,temporary,high
20289,self_employed,10,primary,0,rented,low
118003,employed,7,postgraduate,1,permanent,high
74617,employed,6,graduate,1,temporary,high
35195,self_employed,8,none,0,permanent,medium
126411,unemployed,5,primary,1,homeless,low
223318,employed,5,postgraduate,1,permanent,low
59806,informal,9,secondary,0,rented,high
137019,retired,5,postgraduate,0,permanent,low
86668,informal,4,graduate,0,permanent,medium
16309,unemployed,4,primary,0,rented,high
16785,self_employed,7,secondary,0,permanent,medium
60687,informal,6,graduate,0,rented,medium
106150,employed,6,graduate,1,homeless,medium
75013,unemployed,5,secondary,0,homeless,high
54744,employed,3,secondary,0,temporary,medium
145969,informal,7,secondary,1,permanent,low
144577,self_employed,6,secondary,1,rented,low
77098,self_employed,6,secondary,0,permanent,medium
34691,informal,5,primary,0,rented,high
28302,informal,5,none,1,rented,high
115218,retired,4,secondary,0,rented,high
33567,unemployed,6,primary,0,homeless,high
48932,employed,7,graduate,0,temporary,low
54590,retired,5,primary,1,rented,medium
207254,self_employed,2,graduate,0,permanent,high
21293,unemployed,6,primary,1,permanent,medium
61702,employed,5,graduate,0,permanent,medium
125234,unemployed,4,graduate,0,rented,medium
346439,self_employed,5,postgraduate,1,permanent,low
117928,informal,7,graduate,0,homeless,medium
342076,self_employed,3,secondary,0,permanent,low
218737,self_employed,3,postgraduate,0,rented,low
110569,informal,4,graduate,0,rented,medium
38208,unemployed,6,secondary,1,temporary,high
445981,employed,2,graduate,0,permanent,high
102620,retired,4,graduate,0,rented,medium
10151,employed,9,primary,1,rented,medium
208601,employed,3,graduate,0,permanent,low
29404,informal,7,secondary,0,rented,medium
13905,unemployed,8,primary,0,homeless,low
75910,self_employed,7,graduate,0,permanent,medium
61211,unemployed,5,secondary,1,permanent,medium
43825,informal,5,graduate,1,temporary,medium
95725,unemployed,5,secondary,0,permanent,high
140981,employed,5,primary,0,permanent,medium
8519,unemployed,9,secondary,1,temporary,high
54940,self_employed,7,none,1,rented,high
25709,informal,7,primary,0,temporary,low
37988,self_employed,6,secondary,1,temporary,high
381464,unemployed,5,graduate,1,permanent,low
65674,self_employed,4,graduate,1,permanent,low
243233,employed,5,postgraduate,1,permanent,low
12268,retired,4,primary,0,rented,medium
33185,unemployed,8,graduate,1,rented,high
147348,informal,5,none,1,temporary,high
131057,self_employed,7,secondary,0,rented,low
7060,informal,7,primary,1,temporary,high
65796,self_employed,3,primary,1,temporary,medium
140892,informal,6,graduate,1,rented,high
141391,employed,4,secondary,0,rented,medium
44024,employed,7,secondary,1,rented,low
41653,informal,3,graduate,0,rented,low
233656,employed,3,secondary,0,rented,medium
105934,self_employed,5,graduate,0,rented,low
50875,self_employed,9,primary,0,homeless,high
107395,self_employed,6,secondary,0,permanent,low
237181,employed,2,postgraduate,0,permanent,medium
44502,informal,7,graduate,1,temporary,medium
480647,self_employed,3,postgraduate,0,permanent,low
73483,self_employed,6,graduate,0,permanent,medium
60316,self_employed,7,primary,1,permanent,medium
36414,unemployed,10,secondary,0,temporary,high
52769,retired,8,graduate,1,temporary,high
391895,self_employed,5,secondary,0,permanent,medium
438727,self_employed,5,secondary,1,permanent,low
16298,informal,8,none,1,rented,high
7934,self_employed,4,primary,0,temporary,high
100464,employed,3,primary,0,rented,medium
454804,employed,5,secondary,0,rented,medium
52181,employed,4,postgraduate,0,permanent,high
409137,employed,2,postgraduate,0,rented,low
58121,employed,5,secondary,1,permanent,medium
5239,unemployed,10,none,1,homeless,low
58567,self_employed,6,none,1,permanent,high
50156,unemployed,7,none,1,permanent,high
47421,unemployed,6,primary,0,temporary,medium
217857,retired,2,postgraduate,0,permanent,low
410106,employed,5,secondary,0,permanent,low
32504,informal,6,secondary,1,rented,high
90910,informal,3,secondary,0,rented,medium
55507,employed,6,graduate,0,temporary,low
87581,employed,3,graduate,1,temporary,medium
10700,unemployed,9,none,1,homeless,medium
148925,self_employed,6,primary,1,rented,high
399703,employed,3,postgraduate,0,permanent,low
